|1|0.50967|0.00462| 
|2|0.28438|0.00488| 
|3|0.26267|0.00545| 
|4|0.25094|0.00542| 
|5|0.24396|0.00577| 
|6|0.24430|0.00540| 
|7|0.24326|0.00540| 
|8|0.24224|0.00554| 
|9|0.24188|0.00580| 
|10|0.24386|0.00605| 
|11|0.24177|0.00640| 
|12|0.24319|0.00624| 
|13|0.24283|0.00570| 
|14|0.24355|0.00679| 
|15|0.24397|0.00700| 
|16|0.24259|0.00712| 
|17|0.24169|0.00707| 
|18|0.24202|0.00706| 
|19|0.24384|0.00641| 
|20|0.24365|0.00733| 
|21|0.23850|0.00739| 
|22|0.23818|0.00822| 
|23|0.23636|0.00794| 
|24|0.23289|0.00913| 
|25|0.22415|0.00904| 
|26|0.20963|0.01071| 
|27|0.19556|0.01028| 
|28|0.16779|0.01254| 
|29|0.12970|0.01420| 
|30|0.08077|0.02197| 
