|3|0.01687|0.01027| 
|4|0.02365|0.01379| 
|5|0.01905|0.01296| 
|6|0.02440|0.02123| 
|7|0.02880|0.02902| 
|8|0.03568|0.03472| 
|9|0.04060|0.03703| 
|10|0.04230|0.05094| 
|11|0.04853|0.06108| 
|12|0.05944|0.08587| 
|13|0.08095|0.09884| 
|14|0.08004|0.10945| 
|15|0.09591|0.13050| 
|16|0.10166|0.16720| 
|17|0.11756|0.16282| 
|18|0.13041|0.18638| 
|19|0.13909|0.20418| 
|20|0.15304|0.22744| 
|21|0.17271|0.25632| 
|22|0.19017|0.29131| 
|23|0.29401|0.41935| 
|24|0.26909|0.39123| 
|25|0.28030|0.44704| 
|26|0.32226|0.63168| 
|27|0.37022|0.53192| 
|28|0.35106|0.56507| 
|29|0.37268|0.90321| 
