|0.9969173|0.0386906|0.0386906|0.0000000| 
|0.9846436|0.0396227|0.0410124|0.0013898| 
|0.9723699|0.0405884|0.0405884|-0.0000000| 
|0.9481247|0.0426012|0.0410278|-0.0015735| 
|0.9238795|0.0447651|0.0447651|0.0000000| 
|0.8882598|0.0482506|0.0500512|0.0018006| 
|0.8526402|0.0521516|0.0521516|-0.0000000| 
|0.8065231|0.0579308|0.0557609|-0.0021698| 
|0.7604060|0.0647022|0.0647022|-0.0000000| 
|0.7049270|0.0744987|0.0772938|0.0027951| 
|0.6494480|0.0866208|0.0866208|0.0000000| 
|0.5859733|0.1043393|0.1004211|-0.0039182| 
|0.5224986|0.1277936|0.1277936|-0.0000000| 
|0.4525910|0.1633729|0.1695111|0.0061382| 
|0.3826834|0.2145386|0.2145386|-0.0000000| 
|0.3080644|0.2965079|0.2853643|-0.0111436| 
|0.2334454|0.4232950|0.4232950|0.0000000| 
|0.1559522|0.6218799|0.6452555|0.0233756| 
|0.0784591|0.8666294|0.8666294|0.0000000| 
|0.0000000|1.0000000|0.9624097|-0.0375903| 
|-0.0784591|0.8666294|0.8666294|-0.0000000| 
|-0.1559522|0.6218799|0.6452555|0.0233756| 
|-0.2334454|0.4232950|0.4232950|0.0000000| 
|-0.3080644|0.2965079|0.2853643|-0.0111436| 
|-0.3826834|0.2145386|0.2145386|-0.0000000| 
|-0.4525910|0.1633729|0.1695111|0.0061382| 
|-0.5224986|0.1277936|0.1277936|-0.0000000| 
|-0.5859733|0.1043393|0.1004211|-0.0039182| 
|-0.6494480|0.0866208|0.0866208|-0.0000000| 
|-0.7049270|0.0744987|0.0772938|0.0027951| 
|-0.7604060|0.0647022|0.0647022|0.0000000| 
|-0.8065231|0.0579308|0.0557609|-0.0021698| 
|-0.8526402|0.0521516|0.0521516|-0.0000000| 
|-0.8882598|0.0482506|0.0500512|0.0018006| 
|-0.9238795|0.0447651|0.0447651|-0.0000000| 
|-0.9481247|0.0426012|0.0410278|-0.0015735| 
|-0.9723699|0.0405884|0.0405884|0.0000000| 
|-0.9846436|0.0396227|0.0410124|0.0013898| 
|-0.9969173|0.0386906|0.0386906|0.0000000| 
