|0|-0.1418|0.0765|0.4254|-0.1418| 
|1|0.0765|0.2500|-0.0336|0.2836| 
|2|0.2500|-0.0765|-1.5336|0.2500| 
|3|-0.0765|-0.3582|-1.0746|-1.2836| 
|4|-0.3582|-0.0765|1.0746|-2.3582| 
|5|-0.0765|0.2500|1.5336|-1.2836| 
|6|0.2500|0.0765|0.0336|0.2500| 
|7|0.0765|-0.1418|-0.4254|0.2836| 
|0|-0.0194|-0.1683|0.0582|-0.0194| 
|1|-0.1683|0.1068|1.0680|0.0388| 
|2|0.1068|0.3269|0.4271|1.1068| 
|3|0.3269|0.0000|-1.5340|1.5340| 
|4|0.0000|-0.3269|-1.5340|0.0000| 
|5|-0.3269|-0.1068|0.4271|-1.5340| 
|6|-0.1068|0.1683|1.0680|-1.1068| 
|7|0.1683|0.0194|0.0582|-0.0388| 
